Слуцкое шоссе, д. 51А
ул. Сацункевича, д. 7
ул. Светлая, д. 50
ул. Связистов, д. 5
ул. Святочная, д. 3А
ул. Севастопольская, д. 20
ул. Северная, д. 1
ул. Селицкого, д. 8А
ул. Сергеевская, д. 39
ул. Сиреневая, д. 18
ул. Славная, д. 15
ул. Славянская, д. 1
ул. Слободская, д. 10
ул. Слуцкая, д. 6
ул. Смолевичская, д. 5
ул. Снежная, д. 7
ул. Советская, д. 15
ул. Совхозная, д. 35
ул. Солнечная Горка, д. 3
ул. Солнечная, д. 37
ул. Солнечный Пляж, д. 5
ул. Сосненская, д. 1
ул. Сосновая, д. 9
ул. Спортивная, д. 18
ул. Средняя, д. 41
ул. Стадионная, д. 1
ул. Стайковская, д. 8
ул. Строителей, д. 1
ул. Строительная, д. 3
ул. Студенецкая, д. 19
ул. Студенческая, д. 7
ул. Счастливая, д. 5
ул. Сымона Будного, д. 26
ул. Танкистов, д. 9А
ул. Танковая, д. 1
ул. Тарасовская, д. 4
ул. Тарасовский проезд, д. 2
ул. Таёжная, д. 7
ул. Тверская, д. 7
ул. Тельмана, д. 22
ул. Тенистая, д. 2
ул. Тепличная, д. 6
ул. Титова, д. 12
ул. Тихая, д. 3
ул. Тихоновская, д. 8
ул. Тополиная, д. 23
ул. Торговая, д. 4
ул. Травеньская, д. 7
ул. Тракторозаводская, д. 1
ул. Триумфальная, д. 8
ул. Троицкая, д. 33
ул. Трудовая, д. 11
ул. Тупиковая, д. 144
ул. Туполевская, д. 4
ул. Тюленина, д. 18
ул. Узлесная, д. 14
ул. Украинская, д. 7
ул. Ульянова, д. 1
ул. Университетская, д. 7
ул. Урожайная, д. 8
ул. Учительская, д. 19
ул. Ушестинская, д. 8
ул. Уютная, д. 28
ул. Фабричная, д. 14
ул. Фольклорная, д. 2
ул. Франциска Скорины, д. 7
ул. Фрунзе, д. 3
ул. Фрунзенская, д. 17
ул. Хвойная, д. 15
ул. Хмелевка, д. 57
ул. Хуторская, д. 4
ул. Цветочная, д. 13
ул. Центральная, д. 41
ул. Чапаева, д. 2
ул. Чистая, д. 10
ул. Чкалова, д. 8Б
ул. Шиманского, д. 4
ул. Широкая, д. 10
ул. Школьная, д. 16
ул. Шоссейная, д. 36
ул. Шпитальника, д. 28
ул. Щербины, д. 7
ул. Щорса, д. 90
ул. Энергетиков, д. 1
ул. Энтузиастов, д. 86
ул. Юбилейная, д. 9
ул. Южная, д. 4
ул. Юзофовича, д. 24А
ул. Ягодная, д. 26
ул. Якуба Коласа, д. 2Б
ул. Янки Купалы, д. 11А
ул. Янтарная, д. 42
ул. Ярославская, д. 1
ул. Ясеневая, д. 13
ул. Ясная, д. 24
ул. проезд Мишаева, д. 3
ул. тупик Подгорный, д. 5
