ул. Сергея Есенина, д. 10
ул. Серова, д. 2
ул. Сеченова, д. 2
ул. Скрипникова, д. 1
ул. Скрыганова, д. 6А
ул. Славинского, д. 1 к. 4
ул. Слесарная, д. 48
ул. Слободская, д. 70
ул. Слободской проезд, д. 28
ул. Слонимская, д. 27А
ул. Смирнова, д. 19
ул. Смоленская, д. 3
ул. Смолячкова, д. 21
ул. Сморговский проезд, д. 73
ул. Собинова, д. 102
ул. Советская, д. 11
ул. Солнечная, д. 6
ул. Соломенная, д. 23А
ул. Солтыса, д. 189
ул. Сосновая, д. 18
ул. Сосновый Бор, д. 2
ул. Социалистическая, д. 26
ул. Стадионная, д. 5
ул. Станиславского, д. 32
ул. Стариновская, д. 29
ул. Старобинская, д. 15
ул. Старовиленская, д. 100
ул. Стахановская, д. 38
ул. Стебенёва, д. 3
ул. Степянская, д. 24
ул. Столбцовская, д. 1
ул. Столетова, д. 60
ул. Сторожовская, д. 3
ул. Стрелковая, д. 13а
ул. Строителей, д. 5А
ул. Струговская, д. 27
ул. Суворова, д. 2
ул. Судмалиса, д. 16
ул. Суражская, д. 10
ул. Сурганова, д. 15
ул. Сурикова, д. 50
ул. Сухаревская, д. 5
ул. Сухая, д. 6
ул. Тарханова, д. 11
ул. Татарская, д. 5
ул. Ташкентская, д. 40
ул. Ташкентский проезд, д. 3
ул. Тенистая, д. 33
ул. Тикоцкого, д. 34/2
ул. Тимирязева, д. 66А
ул. Тимошенко, д. 11
ул. Тиражная, д. 29
ул. Тиражный проезд, д. 1
ул. Тихая, д. 30
ул. Толбухина, д. 13
ул. Томская, д. 45
ул. Троицкая набережная, д. 6
ул. Тростенецкая, д. 27
ул. Трудовая, д. 3А
ул. Тургенева, д. 7
ул. Тухачевского, д. 11 пом1Н
ул. Тышкевичей, д. 1
ул. Уборевича, д. 76В
ул. Украинская, д. 10
ул. Ульяновская, д. 34
ул. Уманская, д. 54/1
ул. Уральская, д. 16
ул. Уручская, д. 7
ул. Усадебная, д. 8
ул. Ушакова, д. 28
ул. Фабрициуса, д. 9А
ул. Фабричная, д. 23
ул. Федотова, д. 10
ул. Физкультурная, д. 29
ул. Филатова, д. 1
ул. Филимонова, д. 3/2
ул. Фогеля, д. 11
ул. Франциска Скорины, д. 4
ул. Фроликова, д. 9
ул. Фрунзе, д. 1
ул. Хабаровская, д. 1
ул. Халтурина, д. 101
ул. Харьковская, д. 81
ул. Хмаринская, д. 35
ул. Хмелевского, д. 32
ул. Холмогорская, д. 41
ул. Центральная, д. 6
ул. Цнянская, д. 14
ул. Чайковского, д. 37
ул. Чайлытко, д. 2
ул. Чапаева, д. 5/3
ул. Чарнышевского, д. 10А
ул. Чеботарёва, д. 2
ул. Чекалина, д. 30
ул. Челюскинцев, д. 13
ул. Червякова, д. 2 к4
ул. Черниговская, д. 44
ул. Чернышевского, д. 10А
ул. Черняховского, д. 25
ул. Чигладзе, д. 2
ул. Чичерина, д. 1
ул. Чичурина, д. 2
ул. Чкалова, д. 7
ул. Чюрлёниса, д. 7
ул. Шабаны, д. 5
ул. Шаранговича, д. 51
ул. Шатько, д. 22
ул. Шафарнянская, д. 11
ул. Широкая, д. 16А
ул. Шорная, д. 18
ул. Шоссейная, д. 17А
ул. Шугаева, д. 21
ул. Щедрина, д. 102
ул. Щербакова, д. 20
ул. Щорса, д. 11
ул. Щётовка, д. 1
ул. Экскаваторная, д. 1
ул. Энгельса, д. 34А/2
ул. Южная, д. 41
ул. Юношеская, д. 18
ул. Юрово-Завальная, д. 3
ул. Яблоневая, д. 3
ул. Якуба Коласа, д. 30
ул. Якубова, д. 82
ул. Якубовского, д. 60
ул. Яна Райниса, д. 2А
ул. Яна Чечота, д. 23
ул. Янки Брыля, д. 6Л/8
ул. Янки Купалы, д. 25
ул. Янки Лучины, д. 14
ул. Янки Мавра, д. 22
ул. Янковского, д. 2А
ул. Ясная, д. 28
ул. бульвар Мулявина, д. 2
ул. бульвар Шевченко, д. 17
ул. площадь Казинца, д. 121А/3
ул. площадь Свободы, д. 15
ул. проезд Бумажкова, д. 2
ул. проезд Ватутина, д. 8
ул. проезд Веснина, д. 12
ул. проезд Голодеда, д. 11
ул. проезд Кольцова, д. 28
ул. проезд Котовского, д. 1
ул. проезд Масюковщина, д. 17
ул. проезд Столетова, д. 12
ул. проезд Чекалина, д. 1
ул. проезд Чижевских, д. 8А
ул. ул. Осипенко, д. 23
